title_orig,discounted_price,original_price,units_sold,rating,uses_ad_boosts,product_color,product_variation_size_id,product_variation_inventory,price_difference,total_revenue,potential_revenue,revenue_difference,price_difference_group,uses_ad_boosts_group
Dew Design Women Summer Fashion  V-Neck Vest Button Spaghetti Strap Tank Top Cotton Sleeveless Tank Top Solid Color Camisole Casual Loose Tops Holiday Beach Wear Plus Size S-5XL 5 Colors,11.0,26,1000,3.38,0,armygreen,S,2,15.0,11000.0,26000,15000.0,high,no
2018 Summer Fashion Women Casual Camouflage Tank Top Sleeveless O-neck Vest,9.0,32,1000,4.15,0,armygreen,M,50,23.0,9000.0,32000,23000.0,high,no
2020 New Fashion Summer Women Sleeveless Black White Pink Scalloped Trim Deep V Neck Lace Vest Solid Slim Tank Tops Tee,1.74,2,100,4.25,1,pink,XS,50,0.26,174.0,200,26.0,low,yes
4 Color Women's Fashion Casual Solid Color tops Sleeveless Sheath Summer Fashion Plus Size Brief Pullover Strapless Short Cotton Tunic Top Crop Top,5.65,6,1000,4.06,0,white,XXL,50,0.3499999999999996,5650.0,6000,350.0,low,no
Sweet Beading Cami Tank Tops for Women Spaghetti Strap Summer Vest Tops,5.65,6,1000,4.37,1,black,XXS,10,0.3499999999999996,5650.0,6000,350.0,low,yes
Solid Color T-shirts Bandeau Yoga Vest Off Shoulder Women Strapless Bra Tube Crop Top,2.66,3,5000,3.44,0,black,M,50,0.3399999999999998,13300.0,15000,1700.0,low,no
Summer fashion female butterfly tank vest sleeveless round neck casual top,8.0,17,100,2.75,1,blue,S,50,9.0,800.0,1700,900.0,low,yes
Women's Cotton Sleeveless Round Neck Shirt T-Shirt Loose Fit Pattern Print Sweatshirt,5.8,8,100,3.83,1,armygreen,XS,1,2.2,580.0,800,220.0,low,yes
5 Color Women's Fashion Summer Slim Sleeveless Camouflage Print Dress High Waist Lace Up Casual Pocket Mini Dresses Plus Size S-5XL,13.0,13,1000,4.16,0,pink,S,50,0.0,13000.0,13000,0.0,low,no
 Women Casual Striped T-shirt Long Tops Blouse Kaftan Beach Shirt Mini Dress,9.0,81,50000,4.26,0,black,L,50,72.0,450000.0,4050000,3600000.0,high,no
Women's Summer Fashion Spaghetti Strap Floral Print Tie Front Mini Dress  Dress,7.0,68,10,1.5,0,white,S,50,61.0,70.0,680,610.0,high,no
NEW Red Bull Summer Mens Casual Shorts Pants Loose Cotton Movement Dry Quickly Fitness Shorts,12.0,14,100,3.79,1,black,S,50,2.0,1200.0,1400,200.0,low,yes
Summer New Women Fashion Let It ~ Bee Printed Casual Round Neck Graphic Tee Cute Short Sleeve Cotton T-shirts,3.69,40,100,3.53,0,grey,XS,2,36.31,369.0,4000,3631.0,high,no
Women Spring and Summer Fashion Soild Color Vest Off Shoulder Bandage Vest Casual Low Cut Sport Wear Ladies Bodycon Sleeveless Tank Top,5.84,56,100,3.28,0,armygreen,S,50,50.16,584.0,5600,5016.0,high,no
Fashion Women Jumpsuits Slit Bohemia Maxi Long Dress Womens Printed Dress Rose Boho Beach Shorts,13.0,50,1000,4.03,0,red_and_blue,S,50,37.0,13000.0,50000,37000.0,high,no
Women Fashion Summer V Neck Camisole Vest Solid Color Tops Sleeveless T-shirt Loose Casual Plus Size Tank Tops,11.0,20,100,3.43,0,white,S,50,9.0,1100.0,2000,900.0,low,no
Women Fashion Swimwear Two Pieces Split Bikini Set Summer Printed Beach Bathing Swimsuits,5.84,11,1000,4.19,0,blue,XXS,1,5.16,5840.0,11000,5160.0,low,no
Womens Fashion 3D Skull Print Cut Out Back Tank Top Summer Sleeveless Graphic Shirt Slim Fit Cotton Gothic Tee Tops Plus Size Vest,1.0,11,1000,3.8,1,blue,XXS,37,10.0,1000.0,11000,10000.0,high,yes
Women Loose Casual Printed V Neck Long Dress Plus Size Wave Point Dress Summer Dress,11.0,60,1000,3.38,1,white,S,49,49.0,11000.0,60000,49000.0,high,yes
New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,1.0,10,100,3.56,0,white,XXS,2,9.0,100.0,1000,900.0,low,no
Summer Women Sling Dress V-neck Floral Pleated Strap Casual Pocket Large Dress,6.0,6,100,4.0,0,white_and_green,XS,5,0.0,600.0,600,0.0,low,no
Zanzea S-5XL Summer Women Crew Neck Sleeveless Graffiti Printed Casual Loose Maxi Dress Robes ,11.0,68,1000,4.13,0,red,M,50,57.0,11000.0,68000,57000.0,high,no
Women s New Fashion Solid Color Pants Loose Casual Trousers Wide Leg Pants,5.0,38,50,5.0,1,khaki,XS,17,33.0,250.0,1900,1650.0,high,yes
Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,2.72,3,100,3.1,1,yellow,S,1,0.2799999999999998,272.0,300,28.0,low,yes
European and American Classic Fashion Summer Ladies Short-sleeved Cotton Dress,5.87,11,1000,3.91,1,white,S,6,5.13,5870.0,11000,5130.0,low,yes
Women Summer Three-color Stitching Short Sleeve Long Dress Ladies Casual V Collar Cotton Plus Size Long Dresses XS-5XL,8.0,10,100,2.71,0,red,XS,4,2.0,800.0,1000,200.0,low,no
Plus Size 4XL 5XL Chinese Clothing Shirts for Men Cotton Linen Shirt Tops Summer ,14.0,67,1000,3.81,0,blue,M,50,53.0,14000.0,67000,53000.0,high,no
New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,2.0,9,100,3.47,0,white,XXS,1,7.0,200.0,900,700.0,low,no
Summer Beach Fashion Plus Size Women's Loose Short Sleeve Long Blouses Plus Size Deep V-neck Party Dress Ladies Casual Solid Color Beach Wear Swimsuit Cover-up Short Linen Dress,5.79,30,1000,3.41,1,white,XS,50,24.21,5790.0,30000,24210.0,high,yes
Trend Summer New Design Letter Printed Women T-shirts Deep V-neck Sleeveless Shirts Casual Tank Tops,8.0,22,100,3.74,1,winered,S,50,14.0,800.0,2200,1400.0,high,yes
Summer Women Round Neck Dress Casual Sleeveless Dress Floral Printed Dress Slim Flower Dress,4.94,5,10000,3.93,1,black_and_green,M,6,0.0599999999999996,49400.00000000001,50000,599.9999999999927,low,yes
Fashion Women Sleeveless Lace Vest Loose V Neck Solid Silk  Lady Casual  Black Tank Tops,8.0,33,10,5.0,0,black,S,50,25.0,80.0,330,250.0,high,no
New trend round neck heart-shaped t-shirt casual loose tops women cute funny t-shirt plus size,9.0,33,50,4.5,1,white,S,50,24.0,450.0,1650,1200.0,high,yes
Good Vibes Shirt Summer Shirt Rainbow Shirt Rainbow Pattern Shirt Letter Print Shirt Round Neck Short Sleeve Shirt Splicing Shirt Solid Colour Cotton Shirt Slim Fit Top Plus Size S-5XL,8.0,92,100,3.56,0,yellow,S,50,84.0,800.0,9200,8400.0,high,no
 Women Solid Color Strappy Mini Dress Summer Fashion Sleeveless Short Dress Plus Size,6.0,20,100,3.08,0,red,S,50,14.0,600.0,2000,1400.0,high,no
Women's 2019 Fashion Bandage SwimSuits Colorblock Bikini Sets Beachwear,5.78,8,20000,4.0,1,pink,XS,50,2.22,115600.0,160000,44400.0,low,yes
Women Fashion Leopard Lips Crewneck Tee Short Sleeve Casual T-shirt,12.0,17,5000,3.94,0,white,S,50,5.0,60000.0,85000,25000.0,low,no
Summer Women Fashion Short Dress Sleeveless Waist Dress Camouflage Dress Bodycon Slim Fit Dress Plus Size S-5XL,8.0,51,100,4.29,0,pink,S,50,43.0,800.0,5100,4300.0,high,no
Women Stretchy Camisole Spaghetti Strap Long Tank Top Slip Mini Dress 4Color SIZE XXL is available Now ,5.77,48,100000,4.1,0,black,XS,50,42.23,577000.0,4800000,4223000.0,high,no
Summer Women's Fashion Short Sleeve T Shirt Ladies Female V-neck Hollow Out Casual Loose Blouse Plus Size Tops,1.72,2,100,3.77,1,fluorescentgreen,XS,10,0.28,172.0,200,28.0,low,yes
Women s New Fashion Solid Color Pants Loose Casual Trousers Wide Leg Pants,1.86,9,100,3.57,1,pink,XS,2,7.14,186.0,900,714.0,low,yes
New Summer Fashion Women Striped Stitching Stranger Things Print Tracksuit Stranger Things Clothes 2 Piece Set Woman Sports Suits Shorts Crop Tops   Shorts Pants Outfit,14.0,92,100,4.54,1,black,XS,50,78.0,1400.0,9200,7800.0,high,yes
Plus Size Women's Fashion Loose Casual V neck Wave point Floral print splice Summer Vest camisole,3.69,4,1000,3.64,0,red,XS,5,0.31,3690.0,4000,310.0,low,no
Women Fashion Sleeveless Deep Neck Cross Spaghetti Strap Solid Color Tank Top Loose Blouse Beach Vest Top and Blouse Summer Casual T-shirts Plus Size,5.79,42,1000,3.32,0,red,S,50,36.21,5790.0,42000,36210.0,high,no
Men Cotton Overalls Camouflage Loose Shorts Elasticity Waist Pants,11.0,30,100,4.11,1,orange_and_camouflage,L,2,19.0,1100.0,3000,1900.0,high,yes
2018 6 Color Summer Women’s New Fashion  Cute Whiskey Print Lace Patchwork Spaghetti Strap T-Shirts Slim Bodycon Off The Shoulder Short Sleeve Blouse Casual Cotton Outdoor Tops Plus Size S-XXXXL,6.0,8,10000,3.96,0,black,L,50,2.0,60000.0,80000,20000.0,low,no
Pnma Men Summer Quick Dry Shorts Mens Swim Beach Shorts Swim Shorts Beach Wear Sports Gym,8.0,65,100,3.97,0,white,S,1,57.0,800.0,6500,5700.0,high,no
2020 Fashion Brand Printed Short Pants Casual Jogging Slim Fit Trousers Mens Sports,6.0,6,1000,3.82,1,grey,S,1,0.0,6000.0,6000,0.0,low,yes
2020 Women Fashion V-neck Solid Color Slim Fit Casual Cotton Two Pieces Sports Wear,5.8100000000000005,30,100,2.61,0,green,XS,3,24.19,581.0,3000,2419.0,high,no
Womens Summer Fashion Lip Print 2pc Set Ladies Casual Round Neck Short Sleeve T Shirt and Shorts,5.0,51,10,5.0,0,black,XS,1,46.0,50.0,510,460.0,high,no
Fashion Women Denim Shorts Stitching Lace Summer Jeans Shorts 3 Colors,5.0,5,100,4.3,1,coolblack,XXS,3,0.0,500.0,500,0.0,low,yes
Women Short T-shirt   Shorts Suit Summer Sport Wear Casual Cotton Yoga Lady Crop Top and Shorts,12.0,67,10,3.67,0,pink,XS,20,55.0,120.0,670,550.0,high,no
Women's Fashion Summer Tank Top Casual Printed V-neck Sleeveless Camisole Vest,7.0,43,100,3.71,0,purple,S,9,36.0,700.0,4300,3600.0,high,no
2020 Men Summer Fashion Brand Summer Suits Casual Athletic Set Short Sleeve Tracksuits 2Pc: Shorts T-shirts S-4XL,12.0,85,50,4.75,1,green,S,18,73.0,600.0,4250,3650.0,high,yes
Summer fashion female butterfly tank vest sleeveless round neck casual top,7.0,33,50,3.0,0,blue,S,50,26.0,350.0,1650,1300.0,high,no
S-5XL Summer New Fashion Women Silver Letter Print Dress Short Sleeve Skirt Fashion Casual T Shirt Dress Plus Size,11.0,59,1000,4.11,0,yellow,M,50,48.0,11000.0,59000,48000.0,high,no
2020 Summer Women's Fashion Elastic Waist 3/4 Jogging Capri Hose Strass Dance Paisley Drawstring Casual Sport Fitness Pants,12.0,43,100,3.59,0,lightpink,M,50,31.0,1200.0,4300,3100.0,high,no
Women Summer Fashion Tie-dye Printed Casual Printed Shorts Two-piece Set Sports Set,13.0,51,5000,3.61,0,yellow,S,50,38.0,65000.0,255000,190000.0,high,no
Women's Casual Sleeveless Stripe T Shirts Dress Big Swing Maxi Dress Summer Beach Long Dress Plus Size XS-5XL,2.72,9,1,5.0,0,orange,XS,1,6.279999999999999,2.72,9,6.279999999999999,low,no
NEW Women Casual Tank Top Blouses O-neck Sleeveless Gradient Color Cotton Printing T-shirt Summer Vest Blouses Loose Plus Size S-5XL,6.0,6,20000,3.99,1,green,L,50,0.0,120000.0,120000,0.0,low,yes
Spring and Summer New Tik Tok Ing Endless Loose Large Size Short Sleeve Crop Top and Shorts Set,9.0,56,100,4.03,1,pink_and_black,XXS,3,47.0,900.0,5600,4700.0,high,yes
Ladies Summer Tie Dye Print Short Sleeve Off Shoulder Casual Plus Size Dress,5.0,5,50,5.0,0,yellow,XS,5,0.0,250.0,250,0.0,low,no
Women's Summer Sleeveless U-neck Floral Print Fashion Tank Tops Casual Plus Size Tops(S-5XL),2.0,2,10000,3.99,1,green,S,1,0.0,20000.0,20000,0.0,low,yes
Fabric Waist Trainer Vest Hot Shaper Summer Shaperwear Slimming Adjustable Sweat Belt Body Shaper,5.66,6,100,3.08,0,black,S,50,0.3399999999999998,566.0,600,34.0,low,no
New Women's Fashion Letter Print Tie Dye Halter Sleeveless Long Dress Summer Cotton Bohemian Maxi Boho Dress,13.0,17,5000,4.11,0,pink,XS,6,4.0,65000.0,85000,20000.0,low,no
Spring/Summer/Autumn New Fashion Indo-Shape Head Loose Large Size Solid Color Men's Men's Velvet Wirtschafts,16.0,76,100,3.53,1,red,S,50,60.0,1600.0,7600,6000.0,high,yes
NEW Women Casual Loose Solid Color Dress Short Sleeve V-neck Dress Plus Size,7.0,50,1000,3.49,0,army_green,S,50,43.0,7000.0,50000,43000.0,high,no
10 Color Women Summer Shorts Lace Up Elastic Waistband Loose Panties Plus Size S-6XL,2.0,56,100,3.07,1,lightblue,S,2,54.0,200.0,5600,5400.0,high,yes
Women Summer Shorts Lace Up Elastic Waistband Loose Panties Plus Size,6.0,16,100,3.11,1,white,S,25,10.0,600.0,1600,1000.0,high,yes
Women Ladies Fashion Openwork Panel Tie Dye Tank Top,8.0,25,5000,4.0,0,lightblue,XS,50,17.0,40000.0,125000,85000.0,high,no
Women Summer Off Shoulder Tops Lace Stitching Shirts Casual Shorts Sleeves Loose Blouse,11.0,22,1000,3.97,1,black,XS,50,11.0,11000.0,22000,11000.0,high,yes
S-5XL Sleeveless Blouse Beachwear Plus Size Pleated Loose Sling Tank Tops  Women Casual Summer Loose Off Shoulder Deep V-Neck Backless Vest ,3.66,4,5000,3.19,0,green,S,2,0.3399999999999998,18300.0,20000,1700.0,low,no
New Fashion Summer Women Casual Dress Round Neck Loose Big Swing Skirt Sleeveless Soild Color Beach dress,1.68,2,100,3.67,1,white,XXS,1,0.32,168.0,200,32.0,low,yes
Women Summer Casual Loose Solid Color Vintage Overalls Strap Long Pants Jumpsuits Rompers Plus Size,11.0,16,100,2.92,1,winered,S,50,5.0,1100.0,1600,500.0,low,yes
Summer Fashion Women Round Neck Sleeveless Pure Color Casual Pocket Dress,7.0,9,1000,3.75,0,black,S,2,2.0,7000.0,9000,2000.0,low,no
4 Color Women Fashion Summer Sleeveless Letters Print Tops Casual Workout Tank Tops Casual Cotton Shirt Vest Loose Blouse (S-5XL),4.8100000000000005,76,10000,4.16,0,purple,S,45,71.19,48100.00000000001,760000,711900.0,high,no
Summer Elegant Temperament Printing Women Dresses New Fashion  V-neck Short Sleeve Silk Office Lady Dress A-line,18.0,115,100,3.68,0,red,M,34,97.0,1800.0,11500,9700.0,high,no
 Women's Summer Casual Sleeveless Evening Party Backless Beachwear Mini Dress 12 colors ,5.0,8,1000,3.06,1,mintgreen,XXS,1,3.0,5000.0,8000,3000.0,low,yes
Women Summer Fashion Lace Up Short Pants Casual High Waist Pure Color Crepe Woven Tie Beach Shorts Pocket Cotton Short Pants,1.68,2,1000,3.76,1,black,XS,1,0.32,1680.0,2000,320.0,low,yes
Women's Summer Sleeveless Tank Cotton Vest Printed Tank Tops,6.0,7,50,2.67,0,pink,S,46,1.0,300.0,350,50.0,low,no
Summer Fashion Men'S Sport Athletic Shorts Pants Men Casual Print,13.0,19,1000,3.76,1,black,S,50,6.0,13000.0,19000,6000.0,low,yes
Casual Summer Women's Romper Short Lace Playsuit V-Neck Slim Ladies Jumpsuit,11.0,89,100,3.46,0,black,S,50,78.0,1100.0,8900,7800.0,high,no
Women Summer 2Piece Set Crop Top and Shorts Bodycon Outfit Short Yoga Sport suit,6.0,17,100,4.14,0,black,M,37,11.0,600.0,1700,1100.0,high,no
Summer casual Women T-shirts Ulzzang Streetwear kawaii cartoon print Tshirt Korean Style Tops Harajuku short sleeve t shirt,6.0,17,5000,3.28,0,white,XXXL,50,11.0,30000.0,85000,55000.0,high,no
Women Bikini Blockbuster Underwear Padded Swimwear Swimsuit Bathing Swimwear Suit Bikini Summer Plus Swimming Suit Patchwork Beachwear Plus Size XS-8XL,11.0,84,1000,3.98,0,pink_and_grey,XL,50,73.0,11000.0,84000,73000.0,high,no
2019 The New Women Fashion Bone Hand Pattern Print Spaghetti Strap Cotton Tank Tops Summer Women Casual Bodycon Slim Fit Sleeveless Beach Style Vest,6.0,22,5000,4.04,0,pink,S,21,16.0,30000.0,110000,80000.0,high,no
Fabric Waist Trainer Vest Hot Shaper Summer Shaperwear Slimming Adjustable Sweat Belt Body Shaper,8.0,26,100,3.07,0,black,XXL,50,18.0,800.0,2600,1800.0,high,no
Summer Women s  Fashion  Lace Up Tie Pants  Plus Size Casual High Waist Short Pants,3.78,4,1000,3.35,1,red,XS,1,0.2200000000000002,3780.0,4000,220.0,low,yes
New Summer Women Bikini Set Colorblock High Waist Swimming Bottom Casual Female Beachwear Bathing Suit Swimsuit Underwear,6.0,145,100,3.83,1,green,XS,49,139.0,600.0,14500,13900.0,high,yes
Mens Summer Color Block Printed Chest Pocket Turn Down Collar Button Down Short Sleeve Loose Casual Shirts Beach Holiday,8.0,17,1000,3.96,0,white,M,50,9.0,8000.0,17000,9000.0,low,no
2018 Summer New Women Long Skirts Solid  Split Pencil Skirts,9.0,36,20000,4.09,0,black,S,50,27.0,180000.0,720000,540000.0,high,no
New Summer Women's Fashion Sleeveless  Deep V-neck Tank Top Package Hip Zipper Tunic Top Vest Casual Women Slim Fit Cotton Tees Shirt Plus Size S-5XL,3.0,3,100,3.4,0,beige,XS,3,0.0,300.0,300,0.0,low,no
Summer Short Sleeve Dress Women Casual Loose Dress Plus Size V-neck Floral Dress,8.0,10,50,3.8,0,blue,XS,5,2.0,400.0,500,100.0,low,no
THAT'S A HORRIBLE IDEA WHAT TIME Art Letter Print T-shirt Summer Fashion Women Vest Sleeveless Round Neck Casual T-shirt Loose Cotton Tank Top Basic Tee Shirt Sport Yoga Top Plus Size XS-5XL,5.74,59,1000,3.99,0,winered,XS,3,53.26,5740.0,59000,53260.0,high,no
Women's Active Skort Athletic Stretchy Pleated Tennis Skirt for Running Golf Workout,5.0,5,10,5.0,0,white,S,50,0.0,50.0,50,0.0,low,no
NEW Women Casual Loose Solid Color Dress Short Sleeve V-neck Dress Plus Size,7.0,50,1000,3.49,0,army_green,S,50,43.0,7000.0,50000,43000.0,high,no
Women's Fashion Vintage Hollow Out Lace Dress Women Elegant Sleeveless White Dress Summer Chic Party Dress Vestidos Robe,22.0,169,1000,3.38,1,white,M,50,147.0,22000.0,169000,147000.0,high,yes
Women Halter Long Sling Dress Swing Print Boho Dress,19.0,26,1000,3.01,1,multicolor,L,10,7.0,19000.0,26000,7000.0,low,yes
Summer Women Casual Sleeveless Loose Tops Floral Printed V-neck Shirt Blouse Ladies Fashion Buttoned T-shirts Lady Vest Plus Size Tank Tops XS-8XL,6.0,6,1000,4.17,0,pink,XS,9,0.0,6000.0,6000,0.0,low,no
"4 Colors Summer Women Fashion Sleeveless Cotton Letter Print ""BUT DID YOU DIE"" Tank Tops Workout Tank Top T-shirt Tee In Blue White and Grey",7.0,56,5000,4.16,1,pink,S,15,49.0,35000.0,280000,245000.0,high,yes
Women Summer Casual Loose Solid Color Vintage Overalls Strap Long Pants Jumpsuits Rompers Plus Size,8.0,11,100,2.81,0,winered,S,50,3.0,800.0,1100,300.0,low,no
Women Spring Floral Printed Demin Jumpsuit Romper Ladies Embroidery Summer Overalls Trousers Jeans Plus Size,14.0,26,100,3.61,0,grey,XS,2,12.0,1400.0,2600,1200.0,high,no
Summer Women Boho Maxi Polka Dot Dress Irregular Sleeveless Casual Beach Wear Sundress,6.0,6,100,3.67,1,coffee,XXS,5,0.0,600.0,600,0.0,low,yes
2018 New Fashion Women Bikini Set Push-up Padded Bra Swimsuit -Swimwear,11.0,12,5000,3.45,0,black,S,50,1.0,55000.0,60000,5000.0,low,no
 Women's Summer Casual Sleeveless Evening Party Backless Beachwear Mini Dress,6.0,21,5000,3.18,0,rose,S,13,15.0,30000.0,105000,75000.0,high,no
Women Skeleton Printed Premium Bodycon Slim Fit Soft Elasticity Black Summer Casual Shorts,7.0,47,5000,4.02,0,multicolor,M,50,40.0,35000.0,235000,200000.0,high,no
Women Summer  Halter Mini Dress Party Bodycon Dress Striped Dresses(S-XL),6.0,76,10000,4.29,1,black,S,50,70.0,60000.0,760000,700000.0,high,yes
2020 New Womens Summer Sleeveless V-neck Floral Print Sling Dress Fashion Big Swing Skirt Loose Casual Long Vest Spaghetti Strap Dresses Ladies Party Dress Plus Size S-5XL,7.0,16,10000,3.71,0,red,S,50,9.0,70000.0,160000,90000.0,low,no
Pnma Men Summer Quick Dry Shorts Mens Swim Beach Shorts Swim Shorts Beach Wear Sports Gym,9.0,65,1000,3.7,1,red,M,50,56.0,9000.0,65000,56000.0,high,yes
Short Sleeve Beach Dress Women Summer Print V Neck Dress Loose Casual Pullover Midi Dress,8.0,10,50,5.0,0,yellow,XS,5,2.0,400.0,500,100.0,low,no
NEW Womens Short Sleeve Baggy Summer Beach Midi Dress Ladies Shift Kaftan Dresses,11.0,84,100,3.61,1,grey,XS,5,73.0,1100.0,8400,7300.0,high,yes
S-5XL New Fashion Women Tops Blouse Sleeveless V-neck Solid Color Tank Top Women Summer Shirt Tops Plus Size Causal Loose,4.83,51,50,2.0,1,white,XS,3,46.17,241.5,2550,2308.5,high,yes
Women's Fashion Boho Long Dot Dress Long Dress High Silt Printed Beach Dress XS-5XL,5.85,13,1000,3.16,1,blue,XS,9,7.15,5850.0,13000,7150.0,low,yes
Fashion Sunflower Print Short Sleeve T Shirt Summer Women Shirts Plus Size,9.0,34,100,4.44,1,black,M,50,25.0,900.0,3400,2500.0,high,yes
100%Cotton ZANZEA S-5XL NEW Vintage Women Strap Dungaree Jumpsuit Casual Loose Trousers Overalls Rompers Jumpsuit,15.0,101,1000,3.91,0,yellow,L,22,86.0,15000.0,101000,86000.0,high,no
Women Sleeveless T-shirt Letters Printed 'I HATE EVERYONE' Tank Top Summer Ladies Blouse Camisole Vest Tee Pullovers,5.0,5,1000,4.06,0,white,M,50,0.0,5000.0,5000,0.0,low,no
Summer Women Sling Dress V-neck Floral Pleated Strap Casual Pocket Large Dress,6.0,6,100,4.0,0,white_and_green,XS,5,0.0,600.0,600,0.0,low,no
Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,8.0,8,5000,4.03,1,black,M,50,0.0,40000.0,40000,0.0,low,yes
"new summer men's hooded large pockets, pure color large size short sleeve T-shirt",6.0,41,5000,4.1,1,white,S,47,35.0,30000.0,205000,175000.0,high,yes
ZANZEA Damen Übergröße Tunikakleid Kaftan Freizeitkleid Strand Retro Longtop Kleid Kaftan Dresses,11.0,89,100,3.77,0,orange_red,S,4,78.0,1100.0,8900,7800.0,high,no
(S-5XL) Women Fashion Summer Double-Layer Sports Shorts Quick-Drying Yoga Sports Leggings Fitness Shorts Plus Size,1.72,56,100,4.0,1,red,XXXS,5,54.28,172.0,5600,5428.0,high,yes
Women Deep V Neck Casual Sleeveless Blouse Floral Print T-Shirt Summer Loose Blouse,5.78,26,10000,3.84,0,white,S,50,20.22,57800.0,260000,202200.0,high,no
Women Summer Fashion Sleeveless Crop Tops Spaghetti Strap Deep V Neck Tank Tops Solid Color Casual Slim Fit Cami  Vest  Short T Shirt,8.0,42,1000,3.5,0,orange,S,50,34.0,8000.0,42000,34000.0,high,no
Women Fashion Summer Round Neck Flower Print Vest Casual Sleeveless Tops Loose Plus Size Print Tank Tops,1.89,2,100,3.46,0,black,XS,1,0.1100000000000001,189.0,200,11.0,low,no
Women's Fashion Short Sleeve Round Collar Summer Tank Tops Feather Print T-shirt,12.0,17,1000,4.21,0,white,M,50,5.0,12000.0,17000,5000.0,low,no
XS-8XL Plus Size Dresses Summer Fashion Clothes Womens Deep V-neck Sleeveless Maxi Dresses Ladies Casual Spaghetti Strap Loose Beach Wear Floral Printed Halter Party Dress,6.0,6,10000,3.6,1,pink,XS,2,0.0,60000.0,60000,0.0,low,yes
2019 Summer Women Casual Sleeveless Tops Off Shoulder Shirts Ladies Fashion Printed Loose T-shirts Backless Cotton Tank Tops,4.0,4,5000,4.28,1,navyblue,XS,4,0.0,20000.0,20000,0.0,low,yes
New Women Fashion Solid Color V Neck Lace Tank Top Summer Sleeveless Plus Size Loose Tank Top Vest,7.0,33,100,2.75,0,blue,S,29,26.0,700.0,3300,2600.0,high,no
